"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 16, 2020","3,070","3,040","3,100","3,020","206.15M","2.68%"
"Nov 13, 2020","2,990","3,010","3,010","2,950","186.71M","-1.64%"
"Nov 12, 2020","3,040","3,080","3,080","3,010","169.61M","-1.30%"
"Nov 11, 2020","3,080","2,900","3,100","2,880","480.53M","7.69%"
"Nov 10, 2020","2,860","2,950","2,950","2,860","195.34M","-0.69%"
"Nov 09, 2020","2,880","2,860","2,900","2,840","208.19M","1.77%"
"Nov 06, 2020","2,830","2,800","2,840","2,750","243.87M","2.17%"
"Nov 05, 2020","2,770","2,630","2,810","2,620","369.26M","7.36%"
"Nov 04, 2020","2,580","2,600","2,640","2,580","150.68M","0.00%"
"Nov 03, 2020","2,580","2,570","2,590","2,540","188.87M","0.78%"
"Nov 02, 2020","2,560","2,590","2,620","2,550","391.51M","-2.29%"
"Oct 27, 2020","2,620","2,640","2,690","2,620","146.37M","-1.13%"
"Oct 26, 2020","2,650","2,630","2,680","2,630","97.52M","0.76%"
"Oct 23, 2020","2,630","2,710","2,720","2,630","166.36M","-2.59%"
"Oct 22, 2020","2,700","2,670","2,720","2,650","257.18M","0.75%"
"Oct 21, 2020","2,680","2,680","2,710","2,670","142.15M","0.37%"
"Oct 20, 2020","2,670","2,710","2,740","2,670","168.21M","-1.48%"
"Oct 19, 2020","2,710","2,800","2,810","2,710","187.84M","-1.45%"
"Oct 16, 2020","2,750","2,780","2,780","2,720","135.18M","-1.08%"
"Oct 15, 2020","2,780","2,800","2,850","2,760","138.46M","-1.07%"
"Oct 14, 2020","2,810","2,730","2,830","2,710","183.24M","2.93%"
"Oct 13, 2020","2,730","2,730","2,740","2,680","97.21M","0.00%"
"Oct 12, 2020","2,730","2,750","2,760","2,710","77.48M","0.00%"
"Oct 09, 2020","2,730","2,710","2,750","2,700","109.12M","1.11%"
"Oct 08, 2020","2,700","2,670","2,720","2,650","154.59M","1.50%"
"Oct 07, 2020","2,660","2,650","2,670","2,620","110.19M","0.38%"
"Oct 06, 2020","2,650","2,680","2,700","2,620","148.98M","0.00%"
"Oct 05, 2020","2,650","2,690","2,710","2,640","124.72M","-1.12%"
"Oct 02, 2020","2,680","2,750","2,750","2,650","140.16M","-2.55%"
"Oct 01, 2020","2,750","2,600","2,760","2,600","225.01M","7.42%"
"Sep 30, 2020","2,560","2,630","2,650","2,540","235.61M","-2.66%"
"Sep 29, 2020","2,630","2,690","2,690","2,630","155.85M","-1.13%"
"Sep 28, 2020","2,660","2,710","2,730","2,660","89.26M","-1.12%"
"Sep 25, 2020","2,690","2,720","2,740","2,670","180.97M","-1.47%"
"Sep 24, 2020","2,730","2,750","2,760","2,710","74.52M","-2.50%"
"Sep 23, 2020","2,800","2,770","2,810","2,740","85.95M","0.72%"
"Sep 22, 2020","2,780","2,790","2,810","2,750","75.89M","-1.07%"
"Sep 21, 2020","2,810","2,890","2,910","2,800","100.31M","-2.77%"
"Sep 18, 2020","2,890","2,850","2,890","2,840","162.12M","2.48%"
"Sep 17, 2020","2,820","2,810","2,850","2,780","97.26M","1.08%"
"Sep 16, 2020","2,790","2,810","2,830","2,770","68.11M","-1.41%"
"Sep 15, 2020","2,830","2,890","2,900","2,810","106.22M","-2.08%"
"Sep 14, 2020","2,890","2,830","2,890","2,820","127.56M","2.85%"
"Sep 11, 2020","2,810","2,670","2,840","2,650","197.76M","4.07%"
"Sep 10, 2020","2,700","2,800","2,800","2,620","287.50M","-3.57%"
"Sep 09, 2020","2,800","2,850","2,860","2,800","108.40M","-2.10%"
"Sep 08, 2020","2,860","2,890","2,900","2,860","80.07M","-1.38%"
"Sep 07, 2020","2,900","2,870","2,910","2,870","62.21M","1.40%"
"Sep 04, 2020","2,860","2,850","2,890","2,840","143.57M","-1.38%"
"Sep 03, 2020","2,900","2,950","2,960","2,880","123.11M","-1.69%"
"Sep 02, 2020","2,950","2,900","2,970","2,900","107.59M","1.72%"
"Sep 01, 2020","2,900","2,900","2,910","2,860","90.57M","1.40%"
"Aug 31, 2020","2,860","2,960","2,980","2,860","204.26M","-3.38%"
"Aug 28, 2020","2,960","2,990","2,990","2,940","160.57M","-1.00%"
"Aug 27, 2020","2,990","3,020","3,040","2,970","102.79M","-0.99%"
"Aug 26, 2020","3,020","2,980","3,050","2,980","122.47M","1.34%"
"Aug 25, 2020","2,980","3,010","3,010","2,980","100.01M","-0.67%"
"Aug 24, 2020","3,000","3,010","3,020","2,990","76.71M","0.00%"
"Aug 19, 2020","3,000","3,050","3,050","3,000","103.98M","-1.64%"
"Aug 18, 2020","3,050","3,030","3,060","3,000","139.36M","0.66%"
"Aug 14, 2020","3,030","3,020","3,040","3,000","93.01M","0.66%"
"Aug 13, 2020","3,010","2,950","3,020","2,950","160.91M","2.03%"
"Aug 12, 2020","2,950","2,930","2,960","2,920","110.93M","0.68%"
"Aug 11, 2020","2,930","2,980","3,000","2,930","175.69M","-1.35%"
"Aug 10, 2020","2,970","3,000","3,020","2,970","65.49M","-0.34%"
"Aug 07, 2020","2,980","3,020","3,030","2,970","78.35M","-1.32%"
"Aug 06, 2020","3,020","3,050","3,050","3,000","71.70M","0.00%"
"Aug 05, 2020","3,020","2,960","3,040","2,920","120.72M","2.37%"
"Aug 04, 2020","2,950","2,970","2,970","2,920","96.02M","1.03%"
"Aug 03, 2020","2,920","3,060","3,060","2,850","255.66M","-4.26%"
