Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
Nov '20;3220;2590;3270;2550;211,89M;0.229
Okt '20;2620;2600;2850;2600;146,37M;0.0234
Sep '20;2560;2870;2970;2540;235,61M;-0.1049
Ags '20;2860;3050;3060;2860;204,26M;-0.0623
Jul '20;3050;3070;3190;3000;95,79M;0
Jun '20;3050;3160;3390;2990;258,07M;-0.0317
Mei '20;3150;3370;3390;3020;276,09M;-0.1
Apr '20;3500;3180;3540;3000;163,17M;0.1076
Mar '20;3160;3470;3880;2450;151,30M;-0.0946
Feb '20;3490;3800;3850;3340;1,62B;-0.0816
Jan '20;3800;3970;4030;3780;1,52B;-0.0428
Des '19;3970;3960;4110;3900;1,60B;0.0102
Nov '19;3930;4090;4200;3800;2,16B;-0.0438
Okt '19;4110;4400;4400;4060;1,62B;-0.0464
Sep '19;4310;4440;4450;4150;1,66B;-0.0315
Ags '19;4450;4300;4500;4050;2,06B;0.0349
Jul '19;4300;4200;4370;4110;1,51B;0.0386
Jun '19;4140;4000;4200;3840;1,47B;0.0615
Mei '19;3900;3760;3930;3480;2,20B;0.029
Apr '19;3790;3950;4090;3730;1,48B;-0.0405
Mar '19;3950;3890;3970;3700;1,41B;0.0233
Feb '19;3860;3910;3940;3730;1,41B;-0.0103
Jan '19;3900;3750;4050;3690;2,06B;0.04
Des '18;3750;3740;3840;3610;1,56B;0.019
Nov '18;3680;3850;4110;3680;1,81B;-0.0442
Okt '18;3850;3610;3910;3460;2,00B;0.0577
Sep '18;3640;3520;3670;3250;1,77B;0.043
Ags '18;3490;3570;3670;3270;2,94B;-0.0224
Jul '18;3570;3800;4110;3550;1,90B;-0.048
Jun '18;3750;3540;3860;3510;1,90B;0.0653
Mei '18;3520;3810;3880;3250;2,51B;-0.0809
Apr '18;3830;3640;3890;3570;1,64B;0.0639
Mar '18;3600;4050;4200;3520;2,37B;-0.1
Feb '18;4000;4030;4080;3920;1,53B;0.0025
Jan '18;3990;4430;4460;3920;2,52B;-0.1014
Des '17;4440;4180;4460;4110;1,29B;0.0699
Nov '17;4150;4070;4350;3910;2,34B;0.0298
Okt '17;4030;4690;4710;4010;3,76B;-0.1389
Sep '17;4680;4710;4750;4610;1,39B;-0.0021
Ags '17;4690;4700;4840;4650;1,25B;0
Jul '17;4690;4530;4790;4500;1,68B;0.0376
Jun '17;4520;4400;4540;4290;1,52B;0.0391
Mei '17;4350;4410;4670;4270;1,85B;-0.0046
Apr '17;4370;4130;4520;4010;1,58B;0.0581
Mar '17;4130;3870;4190;3810;1,79B;0.0727
Feb '17;3850;3910;3980;3830;1,49B;-0.0052
Jan '17;3870;3950;4030;3780;1,28B;-0.0276
Des '16;3980;3820;4020;3670;1,49B;0.0529
Nov '16;3780;4230;4300;3640;2,68B;-0.1043
Okt '16;4220;4360;4400;4120;1,37B;-0.0209
Sep '16;4310;4150;4400;3950;2,01B;0.0238
Ags '16;4210;4350;4570;4060;2,21B;-0.0047
Jul '16;4230;4010;4500;3950;1,61B;0.0628
Jun '16;3980;3730;4010;3710;1,81B;0.0757
Mei '16;3700;3410;3800;3410;1,98B;0.0423
Apr '16;3550;3330;3810;3305;2,02B;0.0725
Mar '16;3310;3236;3484;3236;2,17B;0.0229
Feb '16;3236;3275;3494;3126;1,93B;-0.0311
Jan '16;3340;3080;3385;3045;1,75B;0.0757
